Power,Time,Ar,N2,Pressure,Voltage,Current,RI,Thickness,N/Ti
50,125,840,360,0.86,346,144,37.28,1144,0.213
50,120,480,120,0.5,356,140,42.01,1003,0.181
50,125,420,180,0.49,365,147,43.72,1026,0.183
50,480,240,360,0.47,380,131,35.97,4621,0.217
50,480,210,390,0.46,384,130,40.63,4834,0.202
50,490,180,420,0.46,403,124,26.86,1436,0.21
50,490,150,450,0.46,389,128,38.14,4975,0.255
50,590,120,480,0.46,393,127,24.04,5957,0.223
50,490,320,480,0.6,377,132,37.64,4856,0.18
30,600,640,160,0.61,328,91,36.63,2981,0.163
100,234,240,960,0.8,427,234,38.35,1588,0.22
50,455,480,720,0.8,385,130,38.14,3927,0.279
