Power,Time,Ar,N2,Pressure,Voltage,Current,RI,Thickness,N/Ti
50,125,840,360,0.86,346,144,37.28,1144,0.213
50,455,480,720,0.82,389,128,18.39,1065,0.764
50,480,420,780,0.81,391,127,16.57,1051,0.891
50,490,300,900,0.8,396,126,19.75,972,0.918
50,590,240,960,0.8,402,124,16.11,995,0.886
50,120,480,120,0.5,356,140,42.01,1003,0.181
50,125,420,180,0.49,365,147,43.72,1026,0.183
50,480,240,360,0.47,380,131,35.97,4621,0.217
50,480,210,390,0.46,384,130,40.63,4834,0.202
50,490,180,420,0.46,403,124,26.86,1436,0.21
50,490,150,450,0.46,389,128,38.14,4975,0.255
50,590,120,480,0.46,393,127,24.04,5957,0.223
50,490,320,480,0.6,377,132,37.64,4856,0.18
30,490,320,480,0.6,367,81,25.35,723,0.949
30,754,160,640,0.58,374,80,24.2,762,1.068
30,754,240,560,0.6,368,81,20.94,863,0.925
30,677,320,480,0.6,364,82,22.92,857,1.015
30,720,400,400,0.61,352,82,19.48,971,0.872
30,680,480,320,0.62,364,82,18.89,986,0.866
30,630,560,240,0.6,373,80,19.11,972,0.834
30,600,640,160,0.61,328,91,36.63,2981,0.163
30,983,240,960,0.8,377,79,16.43,810,0.845
40,738,240,960,0.78,390,102,16.19,970,0.884
60,492,240,960,0.77,407,147,18.16,1041,0.956
70,421,240,960,0.8,413,169,20.18,1186,0.913
80,369,240,960,0.8,418,191,21.36,1259,0.915
90,328,240,960,0.81,423,213,22.67,1373,0.947
90,242,240,960,0.8,422,213,25.71,990,0.941
100,234,240,960,0.8,427,234,38.35,1588,0.22
50,455,480,720,0.8,385,130,38.14,3927,0.279
50,710,480,720,0.63,388,128,17.17,1285,0.89
50,455,480,720,1,390,128,15.83,1124,0.796
50,590,240,960,0.8,432,115,13.57,1400,0.925
50,590,240,960,0.63,396,126,19.76,1247,0.919
50,590,240,960,1,404,123,15.81,1174,0.866
70,220,240,960,0.8,415,168,24.44,619,0.914
70,260,240,960,0.8,414,168,23.45,726,0.843
70,290,240,960,0.8,414,168,22.98,794,0.91
70,330,240,960,0.8,414,169,22.4,895,0.85
70,365,240,960,0.8,414,169,20.17,1012,0.89
70,400,240,960,0.8,414,169,19.78,1137,0.983
70,435,240,960,0.8,413,169,18.18,1217,0.818
70,470,240,960,0.8,413,169,17.78,1297,0.886
70,505,240,960,0.8,413,169,17.49,1423,0.811
70,540,240,960,0.8,413,169,17.35,1524,0.864
70,365,240,960,0.8,413,169,20.48,1169,0.841
70,365,240,960,0.8,414,169,20.43,1022,0.879
70,365,240,960,0.8,412,169,20.17,1025,0.955
70,365,240,960,0.8,413,169,19.76,1168,0.824
70,365,240,960,0.8,413,169,21.26,955,0.857
70,365,240,960,0.8,413,169,20.7,1075,0.837
70,365,240,960,0.8,413,169,21.3,1278,0.856
70,365,240,960,0.8,413,169,20.83,1094,0.861
70,365,240,960,0.8,413,169,21.29,1192,0.875
70,365,240,960,0.8,414,168,20.26,1047,0.906
70,1825,240,960,0.8,413,169,15.3,5329,0.866
70,365,240,960,0.8,414,169,21.42,1021,0.915
70,1825,240,960,0.8,414,169,16.19,5373,0.815
70,365,240,960,0.8,413,169,21.28,1053,1.04
70,1825,240,960,0.8,412,169,15.92,5437,0.835
70,365,240,960,0.8,413,169,21.69,1070,0.916
70,1825,240,960,0.8,413,169,15.07,5611,0.812
70,365,240,960,0.8,414,167,21.55,1056,0.878
